id,vin,model,make,color,state
1,5UXKR2C54E0801358,1992,GMC,Turquoise,Arizona
2,JTEBU4BF9DK045613,1988,Volkswagen,Goldenrod,Montana
3,WAUKH98E18A515694,2008,Chevrolet,Goldenrod,Maryland
4,YV1672MK9B2118045,2003,Dodge,Pink,Virginia
5,1NXBE4EE5AZ031238,2010,Ford,Orange,Georgia
6,WBABW53444P162808,2012,Bentley,Green,Illinois
7,1HGCR6F36EA844134,2008,Audi,Blue,Minnesota
8,1G6DG5EG7A0158954,1991,Buick,Red,California
9,WAUBFBFLXAN501645,2012,Honda,Violet,California
10,1GYS3LKJ0FR652235,2005,Honda,Purple,Nevada
11,KNAFU6A28C5521618,2005,Honda,Khaki,Texas
12,WVWAW7AH5BV857601,1985,Plymouth,Indigo,Texas
13,3C6JD7AP8CG843853,1995,Lincoln,Crimson,Colorado
14,WAUAG78EX6A674701,1999,Porsche,Teal,Ohio
15,3D7TT2CT9BG569326,2004,Pontiac,Blue,Indiana
16,JN8AF5MV8FT598422,2005,Toyota,Indigo,Florida
17,2B3CJ5DT0AH912069,1985,Mitsubishi,Violet,Louisiana
18,WUAAU342X9N627300,1992,Volkswagen,Violet,Florida
19,WVWDB7AJ5EW636834,1994,Saab,Purple,Washington
20,3GYFNFE3XCS792716,2012,Ford,Fuscia,Georgia
21,WBA3R5C5XFF571991,1985,Mercedes-Benz,Turquoise,Texas
22,5N1AZ2MG2FN887461,2007,Jaguar,Mauv,Louisiana
23,WDDLJ7DB9DA403947,2001,Chevrolet,Orange,Texas
24,5TFCW5F14CX781643,2005,BMW,Blue,California
25,WBAKP9C58FD266526,2007,BMW,Blue,Missouri
26,WA1LFBFP2CA863273,2009,Mercedes-Benz,Goldenrod,Washington
27,WBANE73586B099409,2003,Honda,Aquamarine,Kansas
28,4T1BF1FKXEU567902,1992,Chevrolet,Khaki,California
29,WBAKG7C5XBE719117,2012,Honda,Red,California
30,JN1AZ4EH0FM687226,2010,Lexus,Orange,New Jersey
31,WBADW3C57BE733643,2003,Maserati,Goldenrod,Washington
32,WAUKF98E07A276191,2010,Volvo,Green,California
33,SCFAB05D09G206502,2004,Chevrolet,Khaki,Ohio
34,19XFA1F39AE695599,2008,Scion,Fuscia,Texas
35,1G6AR5SX2F0646346,2009,Mitsubishi,Violet,California
36,1D7RB1GP2BS132863,2004,Acura,Red,Georgia
37,WA1EV74L17D712485,2007,Mazda,Khaki,Florida
38,JH4CU2F42EC330458,2003,Lincoln,Green,Virginia
39,2C3CA1CV1AH556763,2005,Aston Martin,Goldenrod,Texas
40,WBSWD93539P759040,1985,Volkswagen,Mauv,Missouri
41,WAUDF98E68A774244,2010,Cadillac,Maroon,California
42,JA32X8HW3DU959367,1999,Kia,Aquamarine,Oklahoma
43,19XFB2F57CE043149,1995,GMC,Turquoise,Delaware
44,1FTMF1EW5AK508373,1999,Oldsmobile,Teal,California
45,JTJBARBZ4F2163671,1995,Lamborghini,Maroon,Texas
46,JTDKTUD39DD705597,2013,Porsche,Red,New Hampshire
47,1GYS3EEJ1CR145363,2000,Lincoln,Turquoise,Pennsylvania
48,5N1AT2MK4FC424724,1990,Eagle,Crimson,Florida
49,5TFCY5F18BX938924,1995,Toyota,Orange,Tennessee
50,JN1AJ0HP9AM496870,2004,Mercedes-Benz,Violet,Texas
51,WVGAV7AX0AW753547,1995,Mitsubishi,Fuscia,Louisiana
52,WAUDG78E85A093743,2008,Dodge,Teal,New York
53,YV1902AHXC1653399,2011,Toyota,Goldenrod,Texas
54,1GKKRNED1FJ415777,2004,Maserati,Blue,Florida
55,1D7RB1GT0AS304934,1985,Subaru,Violet,Louisiana
56,WAUSF78K29A317935,2012,Hyundai,Turquoise,South Carolina
57,KMHHT6KD5BU197185,2009,Lexus,Crimson,Indiana
58,WBANW53599C398228,1990,Pontiac,Green,California
59,JN1CV6FE5EM759010,1984,Volkswagen,Orange,Georgia
60,3FA6P0D9XDR726717,1977,Mercedes-Benz,Aquamarine,California
61,3TMJU4GN2CM558306,2010,Porsche,Mauv,Nevada
62,WA1CGAFE9FD515138,2005,Acura,Maroon,Mississippi
63,JA32U2FU9DU305948,1995,GMC,Goldenrod,District of Columbia
64,1G4CW54K514401781,2005,Lincoln,Turquoise,Texas
65,JA32X8HW5EU951806,1986,Maserati,Pink,Texas
66,TRUSC28N721821465,2007,Cadillac,Orange,Texas
67,2G4GU5GX0E9008790,2004,Toyota,Green,Arizona
68,1GYS4EEJ5CR868548,1996,Land Rover,Indigo,Arizona
69,WAUAH94F28N465276,2007,Mazda,Maroon,Mississippi
70,1G4GC5EC3BF422927,2003,Nissan,Fuscia,Florida
71,WUARL48H08K669565,2005,Pontiac,Mauv,Georgia
72,YV126MFJ7F1724666,2011,Lexus,Green,Kentucky
73,WAURD68D32A816801,1997,Lamborghini,Violet,California
74,1FTNF1E85AK295673,2009,Infiniti,Aquamarine,Indiana
75,WVWAP7AN8EE522680,1991,Ford,Blue,Arizona
76,1G6DC1E34C0630967,1994,Ford,Maroon,Virginia
77,1FTEW1C87FF752860,2007,Ford,Maroon,Louisiana
78,WBAFZ9C55DC860067,2001,Audi,Violet,New York
79,JH4KB26579C926164,1998,Buick,Blue,California
80,2C3CCAEG6EH903132,1999,Volvo,Puce,Ohio
81,1GYUKEEJ2AR386583,2012,Subaru,Aquamarine,New Jersey
82,1D7RB1CP0BS389042,2010,Lexus,Green,Mississippi
83,WAUSH94F38N661277,2007,Lexus,Red,Colorado
84,WAUKFBFL5BN627591,2010,Cadillac,Violet,Wisconsin
85,WAUGVAFR9BA954249,1993,Volkswagen,Purple,Georgia
86,WA1VGBFP3EA548877,1997,Mitsubishi,Yellow,California
87,WBA5B1C54FG088206,1994,Infiniti,Pink,California
88,1HGCP2E35BA081311,1994,Lincoln,Puce,Oklahoma
89,4USFE83547L357654,1998,Ford,Green,Florida
90,19VDE3F73DE917805,1986,Mercury,Puce,New York
91,WAUBFCFL7CN921047,2010,Bentley,Pink,California
92,WBAPM77559N642210,2003,Toyota,Goldenrod,Ohio
93,1D7RW3BK3AS368593,1997,Infiniti,Purple,Alabama
94,WBAPL33599A278768,1992,Ford,Blue,California
95,2C4RRGAG2ER556891,2005,BMW,Khaki,Illinois
96,2FMDK4JC3AB810601,2008,BMW,Aquamarine,California
97,WA1DGBFE9FD169568,2010,Ford,Purple,Oregon
98,19UUA65574A411970,2007,Mercury,Aquamarine,Michigan
99,JN8AF5MR9DT427808,2010,GMC,Purple,Colorado
100,ZHWGU5BZ3DL762584,1985,Mazda,Orange,Florida
101,YV4612HK2F1292971,1994,Mitsubishi,Purple,Delaware
102,WBSPM9C54BE111986,2003,Audi,Maroon,Florida
103,1G6KF57935U206862,1986,Saab,Fuscia,Minnesota
104,WP1AE2A21BL668629,2010,Cadillac,Orange,California
105,JN1AZ4EH0FM414920,1994,Hyundai,Khaki,Tennessee
106,2FMDK3AK5CB520235,1997,Ford,Red,Ohio
107,3N1AB7AP3FY405225,2002,Chevrolet,Puce,Pennsylvania
108,5NPEB4AC8BH738621,2012,Bentley,Indigo,Tennessee
109,1G6DM577880374229,1990,Buick,Red,Florida
110,WAULFAFR5DA106254,2005,GMC,Indigo,California
111,19UUA8F26BA238164,2004,Toyota,Green,New York
112,5TFAW5F16EX091628,2007,Volvo,Yellow,Nevada
113,YV4902BZ8E1893290,1992,Dodge,Red,Connecticut
114,WAUKGBFB6AN801624,1993,Ford,Pink,Texas
115,SCFEBBAK3EG072564,1997,Volkswagen,Yellow,Nevada
116,5N1AN0NW6EN994193,2010,Mercury,Khaki,California
117,1N6AA0CJ5FN715662,1998,Dodge,Puce,Illinois
118,WA1DGBFE6FD373230,1995,Lincoln,Aquamarine,Kansas
119,5NPDH4AE4DH768164,1993,Toyota,Turquoise,District of Columbia
120,WBAYA8C58FD665958,2010,MINI,Puce,New York
121,WBAEA5C58AC115174,2002,Oldsmobile,Violet,Texas
122,WAUEFBFL4EN723214,2012,Honda,Puce,California
123,WVGAV3AX7DW295261,1993,Mitsubishi,Teal,North Carolina
124,WAUGGBFC8CN733179,2005,Ford,Khaki,Florida
125,1GYS3FEJ4BR416033,2012,Aston Martin,Puce,Arizona
126,SCBBR9ZA7AC797395,1995,Ford,Goldenrod,North Carolina
127,WP1AE2A22DL587982,1989,Mercedes-Benz,Indigo,New Mexico
128,YV126MED6F1286069,2000,Mazda,Mauv,California
